tariff_fraction,total
9803.00.00,74300
3004.90.99,65112
3926.90.99,61424
8703.23.92,59019
8708.99.90,58470
8703.22.92,49456
7326.90.90,36181
7318.15.00,31840
6109.90.00,30398
7117.19.00,29767
3924.10.90,28734
9403.20.19,26740
6110.20.00,26392
9018.90.90,26015
6109.10.00,25220
9503.00.99,24315
6204.62.29,23415
8421.23.00,22987
3822.00.00,22726
8536.50.90,22664
4016.93.00,22104
4202.92.10,22077
8504.40.90,21670
8517.12.00,20335
6206.40.10,20193
8473.30.00,20165
8517.62.00,19938
8543.70.90,19461
6110.30.00,18615
8536.69.90,18536
8481.80.90,18475
4911.99.90,18451
4901.99.90,18430
8205.59.90,17873
8471.30.10,17636
8431.49.00,16920
6206.30.10,16818
6204.69.29,16555
8512.20.00,16515
9403.60.00,16263
2204.21.00,16204
8544.42.90,15996
2106.90.99,15925
8537.10.00,15869
8517.70.00,15559
6206.90.10,15050
6110.90.00,14793
3923.30.90,14517
4016.99.90,14383
4202.22.00,14251
3923.21.90,14175
8413.30.00,13993
6205.20.19,13715
8471.60.00,13400
8708.80.90,13366
8703.22.91,13290
0406.90.90,13158
9032.89.90,12943
8525.80.20,12708
2103.90.29,12677
8708.30.90,12552
8421.31.00,12398
2202.99.90,12166
8484.90.00,12143
7318.16.00,12124
8528.72.90,12034
8516.60.00,11959
6204.62.19,11896
8409.99.90,11844
3304.20.90,11844
1905.90.90,11765
8536.90.00,11743
3919.10.90,11666
6203.42.19,11538
3924.10.81,11529
6204.42.10,11437
7318.22.00,11422
6212.10.00,11364
6204.63.29,11357
3923.90.99,11340
9404.90.19,11231
6402.99.10,11158
4911.10.99,11097
8409.91.00,10957
6204.43.10,10930
8414.59.00,10893
8703.32.20,10870
8509.40.00,10829
8471.90.00,10625
4202.29.00,10526
8544.30.00,10499
8507.80.00,10465
4202.12.00,10455
7616.99.99,10436
6111.20.90,10316
7615.10.93,10236
2106.90.19,10200
8414.51.00,10147
8708.29.90,10099
3923.10.90,10077
6307.90.99,10036
3924.90.15,10003
8544.49.90,9992
9506.91.00,9967
6105.10.00,9912
8483.30.00,9810
6204.69.19,9749
7326.90.50,9713
1901.20.99,9504
9608.10.00,9471
3402.20.11,9428
2710.19.93,9408
6204.49.10,9406
8708.10.00,9340
3506.10.00,9308
4203.30.00,9306
9004.10.00,9296
2202.10.10,9288
8708.91.90,9202
8482.10.00,9195
8711.20.20,9181
3304.99.19,9116
4911.10.30,9085
6402.99.94,9034
8471.70.00,8993
8418.10.19,8983
0603.19.99,8891
2106.90.69,8884
8481.80.10,8870
3923.50.90,8825
8415.10.00,8783
3926.10.90,8782
4202.92.29,8725
8481.80.20,8609
9401.79.00,8585
8301.40.90,8568
4009.42.00,8536
1905.31.90,8504
6104.62.00,8496
6209.20.00,8459
6402.91.94,8438
8443.99.30,8400
8415.90.90,8390
8703.23.91,8377
3401.11.10,8337
3305.90.19,8319
3004.39.10,8187
4011.10.00,8116
6212.90.90,8027
8539.50.00,8023
8516.79.00,7962
6403.19.00,7928
3305.10.20,7878
9403.70.19,7855
8450.20.00,7818
6203.42.23,7800
6103.42.00,7791
6114.30.00,7719
3304.10.00,7686
8421.39.00,7650
7321.11.10,7624
2202.10.90,7570
8484.10.00,7473
8413.81.90,7470
4202.99.99,7455
6104.63.00,7433
8518.30.90,7360
8529.90.90,7348
2103.90.39,7267
8708.50.90,7244
7009.10.00,7236
3925.90.90,7217
8302.30.00,7119
8418.99.00,7106
4911.10.19,7101
6402.20.90,7021
3917.40.00,6990
9505.90.00,6971
9031.80.00,6905
6205.90.19,6899
3924.90.90,6884
3208.90.19,6882
8518.29.90,6872
7323.93.90,6868
4010.39.00,6850
4202.32.90,6845
8467.89.00,6816
7013.49.00,6771
8471.80.00,6726
1704.90.10,6701
2203.00.00,6620
6912.00.19,6571
6211.43.90,6554
6505.00.90,6532
6204.43.21,6511
8471.30.90,6471
8511.90.90,6453
8523.51.10,6419
8483.50.90,6354
6302.60.00,6343
8205.90.90,6329
3808.94.91,6324
6115.95.00,6317
6404.11.00,6315
6204.59.20,6228
6204.63.19,6217
4818.10.00,6214
8513.10.00,6205
8708.70.90,6199
3214.10.11,6180
8516.50.00,6165
3304.99.11,6131
6104.69.00,6129
8544.60.99,6083
2309.10.00,6066
6209.90.90,6060
8482.80.00,6059
3926.40.00,6055
8521.90.00,5959
