RUC,company,total
5458-162-67519,DHL PANAMA S A,495336
898-241-102416,PRICESMART PANAMA S A,214693
280331-1-407350,HONEY PRODUCTIONS INC,205577
15430-249-148718,ACE INTERNAT HARDWARE CORP,175949
342-240-75526,RIBA SMITH S A,123561
49679-106-746,FEDERAL EXPRESS CORPORATION,106132
30747-40-240144,PRODUCTOS AVON S A,86588
36449-70-263492,AIRBOX EXPRESS S.A.,74080
121-261-33279,IIASA PANAMA S A,61316
305-414-68335,RICARDO PEREZ  S A,54995
29440-104-236201,PETROAUTOS S A,52091
31301-11-242424,SILABA MOTORS  S A,51896
37914-2-269514,UPS FREIGHT SERVICES PANAMA INC,50791
650-529-126088,EMPRESAS MELO  S A,50218
2243988-1-780265,UNITED RETAIL INC,47387
277-83-60760,AGENCIAS FEDURO S A,44519
65219-68-360495,TOVA S A,43561
2243885-1-780233,RETAIL NETWORK INC,42599
138-289-35920,GEO F NOVEY INC,42584
1615760-1-669261,TRANSPORTES XEP  S  A  (TRANSPORTES XEPSA),37686
2251188-1-781587,CITYSPORTS HOLDING CORP,37671
5837-93-70420,KADIMA S A,36165
866-176-101773,PANAMENA DE MOTORES S A.,35264
36765-2-264774,MULTITEK PACIFICO  S A,32494
2243930-1-780245,INT  COLLABORATION INC,32165
1052567-1-547988,PREMIER UNIVERSE S A,31727
51013-40-319894,BAHIA MOTORS S A,31541
1508-31-30247,SHALOM S A,31103
18317-162-169190,PAN COLOMBIA TRADERS S A,29021
243736-1-402080,GLOBAL PRODUCTS AND LOGISTIC SERVICES IN,28855
1513069-1-650069,CITY MALL S A,27190
434-15-93796,IMPORTADORA RICAMAR S A,24692
558-472-101708,IMPORTADORA MADURO S A,24608
2243982-1-780264,INTERAMERICAN SPORTS S.A,23567
2243994-1-780266,WORLD CLASS RETAIL INC,23273
38682-54-272473,VENDELA S A,22141
293-366-66713,COLGATE PALMOLIVE CENTRAL AMERICA INC,22052
2238988-1-779356,AMERICAN FASHION WEAR S.A,21776
521-136-113133,COCHEZ Y COMPA IA S A,21391
130-377-34706,COMPA?IA PANAME?A DE AVIACION  S A,20569
52090-108-323391,PAAL S.A,20299
1240023-1-590928,GRAINGER PANAMA S A,20234
62070-3-351143,PROSERV S A,20184
46505-96-303869,MINERA PANAMA  S  A,19903
824430-1-500660,MOTORES JAPONESES  S A,19669
316220-1-412317,MULTIPLES SALES CORP,19170
1099-185-120196,CONSULTENOS S A,19159
1070079-1-551873,DOYAN   S A,19143
652-212-129962,COMPA IA GOLY S A,18523
16429-109-156121,ABOLU S A,18376
46668-2-304466,INVERSIONES POCAHONTAS S A,18355
662-358-135002,AUTOMOTORA AUTOSTAR S.A,17789
557-544-101637,3 M PANAMA S A,17768
30773-73-240340,SEMFYL S A,17362
8091-204-85890,ELMEC S A,17335
316267-1-412325,CRISTAL COMMERCIAL  S  A,16910
490-599-105160,REPRICO S A,16796
2357-1-364165,GRUPO PRIMAVERA HOLDING  S  A,16590
346-266-76470,FARMACIA ARROCHA S A,15987
2135837-1-762825,DELVI GLOBAL S.A.,15671
441-74-94389,FELIPE MOTTA S.A.,15663
62137-36-351360,TARGET S A,15241
503455-1-436018,DISTRIBUIDORA DAVID FORD COMPANY S A,15016
256-148-57138,COMPA IA ASTOR S A,14865
49-572-8631,C G DE HASETH & CIA  S A,14341
122-395-32518,CARDOZE Y LINDO S A,13690
735-126-116407,PANASONIC LATIN AMERICA S A,13687
1739598-1-694071,COMPRAS POR INTERNET S A,13386
1744085-1-694951,AIR FACILITY COSTA DEL ESTE  S A,13379
2663354-1-842484,JACD LOGISTIC S.A,13084
155615059-2-2015,SYY PANAMA S DE R L,13014
155599714-2-2015,"HAKOL GROUP, SA",12871
1516081-1-650588,DAITOMO  S A,12849
644-570-114659,PROMOCION MEDICA S A,12690
66159-91-363381,PANAFOTO S A,12238
