tariff_code,product_name
101210000,- - Reproductores de raza pura
101290000,- - Los demás
101300000,- Asnos
101900000,- Los demás
102210000,- - Reproductores de raza pura
102290000,- - Los demás
102310000,- - Reproductores de raza pura
102390000,- - Los demás
102901000,- - Reproductores de raza pura
102909000,- - Otros
103100000,- Reproductores de raza pura
103910000,- - De peso inferior a 50 kg
103920000,- - De peso superior o igual a 50 kg
104101000,- - Reproductores de raza pura
104109000,- - Otros
104201000,- - Reproductores de raza pura
104209000,- - Otros
105110000,- - Aves de la especie Gallus domesticus
105120000,- - Pavos (gallipavos)
105130000,- - Patos
105140000,- - Gansos
105150000,- - Pintadas
105940000,- - Aves de la especie Gallus domesticus
105990000,- - Los demás
106110000,- - Primates
106120000,"- - Ballenas, delfines y marsopas (mamíferos del orden Cetácea); manatíes y dugones o dugongos (mamíferos del orden Sirenia); otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia)"
106130000,- - Camellos y demás camélidos (Camelidae)
106140000,- - Conejos y liebres
106190000,- - Los demás
106200000,- Reptiles (incluidas las serpientes y tortugas de mar)
106310000,- - Aves de rapiña
106320000,"- - Psitaciformes (incluidos los loros, guacamayos, cacatúas y demás papagayos)"
106330000,- - Avestruces; emúes (Dromaius novaehollandiae)
106390000,- - Las demás
106410000,- - Abejas
106490000,- - Los demás
106900000,- Los demás
201100000,- En canales o medias canales
201200000,- Los demás cortes (trozos) sin deshuesar
201300000,- Deshuesada
202100000,- En canales o medias canales
202200000,- Los demás cortes (trozos) sin deshuesar
202300000,- Deshuesada
203110000,- - En canales o medias canales
203120000,"- - Jamones, paletas y sus trozos, sin deshuesar"
203190000,- - Las demás
203210000,- - En canales o medias canales
203220000,"- - Jamones, paletas y sus trozos, sin deshuesar"
203290000,- - Las demás
204100000,"- Canales o medias canales, de cordero, frescas o refrigeradas"
204210000,- - En canales o medias canales
204220000,- - Los demás cortes (trozos) sin deshuesar
204230000,- - Deshuesadas
204300000,"- Canales o medias canales, de cordero, congeladas"
204410000,- - En canales o medias canales
204420000,- - Los demás cortes (trozos) sin deshuesar
204430000,- - Deshuesadas
204500000,- Carne de animales de la especie caprina
205000000,"CARNE DE ANIMALES DE LAS ESPECIES CABALLAR, ASNAL O MULAR, FRESCA, REFRIGERADA O CONGELADA"
206100000,"- De la especie bovina, frescos o refrigerados"
206210000,- - Lenguas
206220000,- - Hígados
206290000,- - Los demás
206301000,- - Piel
206309000,- - Otros
206410000,- - Hígados
206491000,- - - Piel
206499000,- - - Otros
206800000,"- Los demás, frescos o refrigerados"
206900000,"- Los demás, congelados"
207110000,"- - Sin trocear, frescos o refrigerados"
207120000,"- - Sin trocear, congelados"
207131000,"- - - En pasta, deshuesados mecánicamente"
207139100,- - - - Pechugas
207139200,- - - - Alas
207139300,"- - - - Muslos, piernas, incluso unidos"
207139400,"- - - - Muslos, piernas, que incluyan en su presentación otros trozos, incluso unidos "
207139900,- - - - Los demás
207141000,"- - - En pasta, deshuesados mecánicamente"
207149100,- - - - Pechugas
207149200,- - - - Alas
207149300,"- - - - Muslos, piernas, incluso unidos"
207149400,"- - - - Muslos, piernas, que incluyan en su presentación otros trozos, incluso unidos "
207149900,- - - - Los demás
207240000,"- - Sin trocear, frescos o refrigerados"
207250000,"- - Sin trocear, congelados"
207261000,"- - - En pasta, deshuesados mecánicamente"
207269000,- - - Otros
207271000,"- - - En pasta, deshuesados mecánicamente"
207279000,- - - Otros
207410000,"- - Sin trocear, frescos o refrigerados"
207420000,"- - Sin trocear, congelados"
207430000,"- - Hígados grasos, frescos o refrigerados"
207441000,"- - - En pasta, deshuesados mecánicamente"
207449000,- - - Otros
207451000,"- - - En pasta, deshuesados mecánicamente"
207459000,- - - Otros
207510000,"- - Sin trocear, frescos o refrigerados"
207520000,"- - Sin trocear, congelados"
207530000,"- - Hígados grasos, frescos o refrigerados"
207541000,"- - - En pasta, deshuesados mecánicamente"
207549000,- - - Otros
207551000,"- - - En pasta, deshuesados mecánicamente"
207559000,- - - Otros
207601000,"- - Sin trocear, frescos o refrigerados"
207602000,"- - Sin trocear, congelados"
207603000,"- - Hígados grasos, frescos o refrigerados"
207604100,"- - - En pasta, deshuesados mecánicamente"
207604900,- - - Otros
207605100,"- - - En pasta, deshuesados mecánicamente"
207605900,- - - Otros
208100000,- De conejo o liebre
208300000,- De primates
208400000,"- De ballenas, delfines y marsopas (mamíferos del orden Cetácea); de manatíes y dugones o dugongos (mamíferos del orden Sirenia); de otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia)"
208500000,- De reptiles (incluidas las serpientes y tortugas de mar)
208600000,- De camellos y demás camélidos (Camelidae)
208901000,- - Ancas (patas) de rana
208909000,- - Otros
209101000,- - Tocino 
209102000,- - Grasa de cerdo
209900000,- Los demás
210110000,"- - Jamones, paletas y sus trozos, sin deshuesar"
210120000,- - Tocino entreverado de panza (panceta) y sus trozos
210190000,- - Las demás
210200000,- Carne de la especie bovina
210910000,- - De primates
210921000,"- - - De otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia)"
210929000,- - - De otros animales
210930000,- - De reptiles (incluidas las serpientes y tortugas de mar)
210991000,- - - Hígados de ave salados o en salmuera
210992000,- - - Hígados de ave secos o ahumados
210993000,"- - - Harina y polvo, de carne o de despojos"
210999000,- - - Otros
301110000,- - De agua dulce
301190000,- - Los demás
301911000,- - - Larvas para repoblación
301919000,- - - Otras
301921000,- - - Larvas para repoblación
301929000,- - - Otras
301931000,"- - - Larvas para repoblación de las especies Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus"
301932000,- - - Larvas para repoblación de las demás especies
301939000,- - - Otras
301940000,"- - Atunes comunes o de aleta azul, del Atlántico y del Pacífico (Thunnus thynnus, Thunnus orientalis)"
301950000,- - Atunes del sur (Thunnus maccoyii)
301991000,- - - Larvas para repoblación
301999100,"- - - - Atunes (del género Thunnus, excepto el Thunnus thynnus, Thunnus orientalis y Thunnus maccoyii), listados o bonitos de vientre rayado (Euthynnus (Katsuwonus) pelamis), sardinas (Sardina pilchardus, Sardinops spp.) y caballas (macarelas) (Scomber scombrus, Scomber australasicus, Scomber japonicus)"
301999900,- - - - Los demás
302110000,"- - Truchas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache y Oncorhynchus chrysogaster)"
302130000,"- - Salmones del Pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou y Oncorhynchus rhodurus)"
302140000,- - Salmones del Atlántico (Salmo salar) y salmones del Danubio (Hucho hucho)
302190000,- - Los demás
302210000,"- - Fletanes (""halibut"") (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)"
302220000,- - Sollas (Pleuronectes platessa)
302230000,- - Lenguados (Solea spp.)
302240000,"- - Rodaballos (""turbots"") (Psetta maxima)"
302290000,- - Los demás
302310000,- - Albacoras o atunes blancos (thunnus alalunga)
302320000,- - Atunes de aleta amarilla (rabiles) (Thunnus albacares)
302330000,- - Listados o bonitos de vientre rayado
302340000,- - Atunes ojo grande (Patudos) (Thunnus obesus)
302350000,"- - Atunes comunes o de aleta azul, del Atlántico y del Pacífico (Thunnus thynnus, Thunnus orientalis)"
302360000,- - Atunes del sur (Thunnus maccoyii)
302390000,- - Los demás
302410000,"- - Arenques (Clupea harengus, Clupea pallasii)"
302420000,- - Anchoas (Engraulis spp.)
302430000,"- - Sardinas (Sardina pilchardus, Sardinops spp.), sardinelas (Sardinella spp.) y espadines (Sprattus sprattus)"
302440000,"- - Caballas (macarelas) (Scomber scombrus, Scomber australasicus, Scomber japonicus)"
302450000,- - Jureles (Trachurus spp.)
302460000,- - Cobias (Rachycentron canadum)
302470000,- - Peces espada (Xiphias gladius)
302490000,- - Los demás
302510000,"- - Bacalaos (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
302520000,- - Eglefinos (Melanogrammus aeglefinus)
302530000,- - Carboneros (Pollachius virens)
302540000,"- - Merluzas (Merluccius spp., Urophycis spp.)"
302550000,- - Abadejos de Alaska (Theragra chalcogramma)
302560000,"- - Bacaladillas (Micromesistius poutassou, Micromesistius australis)"
302590000,- - Los demás
302710000,- - Tilapias (Oreochromis spp.) 
302720000,"- - Bagres o peces gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
302730000,"- - Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)"
302740000,- - Anguilas (Anguilla spp.)
302790000,- - Los demás
302810000,- - Cazones y demás escualos
302820000,- - Rayas (Rajidae)
302830000,"- - Austromerluzas antárticas y austromerluzas negras (merluzas negras, bacalaos de profundidad, nototenias negras) (Dissostichus spp.)"
302840000,- - Róbalos (Dicentrarchus spp.)
302850000,"- - Sargos (Doradas, Espáridos) (Sparidae)"
302891000,- - - Pargos (Lutjanus spp.)
302892000,- - - Dorados (Coryphaena hippurus)
302893000,"- - - Cabrillas (Epinephelus spp., Paralabrax spp.)"
302894000,- - - Corvinas (Sciaena spp.)
302895000,"- - - Marlines (Makaira spp., Tetrapturus spp.)"
302896000,"- - - Las demás tilapias, excepto las que se clasifican en el inciso arancelario 0302.71.00.00"
302897000,- - - Meros (Epinephelus guaza)
302899000,- - - Otros
302910000,"- - Hígados, huevas y lechas"
302920000,- - Aletas de tiburón
302991000,"- - - De atunes, listados o bonitos de vientre rayado, sardinas, sardinelas y espadines"
302992000,"- - - De salmónidos (excepto de truchas), pescados planos, arenques, caballas (macarelas), bacalaos, eglefinos, carboneros, anguilas, cazones y demás escualos"
302999000 ,- - - Otros
303110000,- - Salmones rojos (Oncorhynchus nerka)
303120000,"- - Los demás salmones del Pacífico (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou y Oncorhynchus rhodurus)"
303130000,- - Salmones del Atlántico (Salmo salar) y salmones del Danubio (Hucho hucho)
303140000,"- - Truchas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache y Oncorhynchus chrysogaster)"
303190000,- - Los demás
303230000,- - Tilapias (Oreochromis spp.)
303240000,"- - Bagres o peces gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
303250000,"- - Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)"
303260000,- - Anguilas (Anguilla spp.)
303290000,- - Los demás
303310000,"- - Fletanes (""halibut"") (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)"
303320000,- - Sollas (Pleuronectes platessa)
303330000,- - Lenguados (Solea spp.)
303340000,"- - Rodaballos (""turbots"") (Psetta maxima)"
303390000,- - Los demás
