category_code,sub_category_code,sub_category,
I,01,Animales vivos,
I,02,Carne y despojos comestibles,
I,03,Pescados y crustaceos; moluscos y demas invertebrados acuaticos,
I,04,"Leche y productos lácteos; huevos de ave; miel natural;productos comestibles de origen animal, no expresados ni comprendidos en otra parte",
I,05,Los demas productos de origen animal no expresados ni comprendidos en otra parte,
II,06,Plantas vivas y productos de la floricultura,
II,07,Hortalizas; plantas; raices y tuberculos alimenticios,
II,08,Frutas y frutos comestibles; cortezas de agrios (citricos); melones o sandias,
II,09,Cafe; te; yerba mate y especias,
II,10,Cereales,
II,11,Productos de la molineria; malta; almidon y fecula; inulina; gluten de trigo,
II,12,Semillas y frutos oleaginosos; semillas y frutos diversos; plantas industriales o medicinales; paja ...,
II,13,Gomas; resinas y demas jugos y extractos vegetales,
II,14,Materias trenzables y demas productos de origen vegetal; no expresados ni comprendidos en otra parte,
III,15,Grasas y aceites animales o vegetales; productos de su desdoblamiento; grasas alimenticias elaboradas; ceras de origen animal o vegetal,
IV,16,Preparaciones de carne; pescado o de crustaceos; moluscos o demas invertebrados acuaticos,
IV,17,Azucares y articulos de confiteria,
IV,18,Cacao y sus preparaciones,
IV,19,Preparaciones a base de cereales; harina; almidon; fecula o leche; productos de pasteleria,
IV,20,Preparaciones de hortalizas; frutas u otros frutos o demas partes de plantas,
IV,21,Preparaciones alimenticias diversas,
IV,22,Bebidas; liquidos alcoholicos y vinagre,
IV,23,Residuos y desperdicios de las industrias alimentarias; alimentos preparados para animales,
IV,24,Tabaco y sucedaneos del tabaco elaborados,
V,25,Sal; azufre; tierras y piedras; yesos; cales y cementos,
V,26,Minerales metaliferos; escorias y cenizas,
V,27,"Combustibles minerales, aceites minerales y productos de su destilación; materias bituminosas; ceras minerales",
VI,28,"Productos químicos inorgánicos; compuestos inorgánicos u orgánicos de metal precioso, de elementos radiactivos, de metales de las tierras raras o de isotopos",
VI,29,Productos quimicos organicos,
VI,30,Productos farmaceuticos,
VI,31,Abonos,
VI,32,Extractos curtientes o tintoreos; taninos y sus derivados; pigmentos y demas materias colorantes; pi...,
VI,33,Aceites esenciales y resinoides; preparaciones de perfumeria; de tocador o de cosmetica,
VI,34,"Jabón, agentes de superficie orgánicos, preparaciones para lavar, preparaciones lubricantes, ceras artificiales, ceras preparadas, productos de limpieza, velas (candelas) y artículos similares, pastas para modelar, ""ceras para odontología"" y preparaciones para odontología a base de yeso fraguable",
VI,35,Materias albuminoideas; productos a base de almidon o de fecula modificados; colas; enzimas,
VI,36,Polvora y explosivos; articulos de pirotecnia; fosforos (cerillas); aleaciones piroforicas; materias...,
VI,37,Productos fotograficos o cinematograficos,
VI,38,Productos diversos de las industrias quimicas,
VII,39,Plastico y sus manufacturas,
VII,40,Caucho y sus manufacturas,
VIII,41,Pieles (excepto la peleteria) y cueros,
VIII,42,Manufacturas de cuero; articulos de talabarteria o guarnicioneria; articulos de viaje; bolsos de man...,
VIII,43,Peleteria y confecciones de peleteria; peleteria facticia o artificial,
IX,44,Madera; carbon vegetal y manufacturas de madera,
IX,45,Corcho y sus manufacturas,
IX,46,Manufacturas de esparteria o cesteria,
X,47,Pasta de madera o de las demás materias fibrosas celulósicas; papel o cartón para reciclar (desperdicios y desechos),
X,48,Papel y carton; manufacturas de pasta de celulosa; de papel o carton,
X,49,Productos editoriales de la prensa y de las demás industrias gráficas; textos manuscritos o mecanografiados y planos,
XI,50,Seda,
XI,51,Lana y pelo fino u ordinario; hilados y tejidos de crin,
XI,52,Algodon,
XI,53,Las demas fibras textiles vegetales; hilados de papel y tejidos de hilados de papel,
XI,54,Filamentos sinteticos o artificiales; tiras y formas similares de materia textil sintetica o artific...,
XI,55,Fibras sinteticas o artificiales discontinuas,
