"","firstname","lastname","year","sex","count"
"1","AALIA","ABIR",2015,"F",1
"2","AALIYA","ERFAN",2015,"F",1
"3","AALIYAH","-",2015,"F",1
"4","AALIYAH","JAVIERIS",2015,"F",1
"5","AALIYAH","MARIE",2015,"F",1
"6","AAMAL","RAMZI",2015,"F",1
"7","AAMIR","MALIC",2015,"M",1
"8","AARAV","SHAILESHKUMAR",2015,"M",1
"9","AARIANIS","LISSETTE",2015,"F",1
"10","AARON","-",2015,"M",7
"11","AARON","ABDEL",2015,"M",1
"12","AARON","ABDIAS",2015,"M",1
"13","AARON","ABDIEL",2015,"M",1
"14","AARON","ABDUL",2015,"M",1
"15","AARON","ALBERTO",2015,"M",1
"16","AARON","ALDAIR",2015,"M",1
"17","AARON","ALEF",2015,"M",1
"18","AARON","ALEJANDRO",2015,"M",1
"19","AARON","ALEXANDER",2015,"M",2
"20","AARON","ALEXI",2015,"M",1
"21","AARON","ALEXIS",2015,"M",1
"22","AARON","ALI",2015,"M",1
"23","AARON","AMED",2015,"M",1
"24","AARON","AMEL",2015,"M",2
"25","AARON","ANDRES",2015,"M",2
"26","AARON","ANTONIO",2015,"M",2
"27","AARON","ATMED",2015,"M",1
"28","AARON","AUGUSTO",2015,"M",1
"29","AARON","AVISAID",2015,"M",1
"30","AARON","DANIEL",2015,"M",3
"31","AARON","DAVID",2015,"M",4
"32","AARON","DILAN",2015,"M",1
"33","AARON","EDUARDO",2015,"M",1
"34","AARON","ELEAZAR",2015,"M",1
"35","AARON","ELIAN",2015,"M",1
"36","AARON","ELIAS",2015,"M",1
"37","AARON","EL’AS",2015,"M",1
"38","AARON","ELIECER",2015,"M",1
"39","AARON","EMILIO",2015,"M",1
"40","AARON","ENMANUEL",2015,"M",1
"41","AARON","ENRIQUE",2015,"M",1
"42","AARON","ISAAC",2015,"M",6
"43","AARON","ISAACS",2015,"M",1
"44","AARON","ISAIAS",2015,"M",1
"45","AARON","IVIS",2015,"M",1
"46","AARON","JADIR",2015,"M",1
"47","AARON","JAVIER",2015,"M",2
"48","AARON","JESŒS",2015,"M",2
"49","AARON","JEYFATH",2015,"M",1
"50","AARON","JONAS",2015,"M",1
"51","AARON","JOSÉ",2015,"M",1
"52","AARON","JOSUE",2015,"M",3
"53","AARON","JOSUÉ",2015,"M",1
"54","AARON","JOSUETH",2015,"M",1
"55","AARON","MELVIN",2015,"M",1
"56","AARON","MIGUEL",2015,"M",1
"57","AARON","MOISÉS",2015,"M",1
"58","AARON","NATAN",2015,"M",1
"59","AARON","NODIER",2015,"M",1
"60","AARON","OMAR",2015,"M",1
"61","AARON","RICARDO",2015,"M",1
"62","AARON","WIHON",2015,"M",1
"63","AARON","YADIER",2015,"M",1
"64","AARON","YAIR",2015,"M",1
"65","AAR—N","-",2015,"M",1
"66","AAR—N","ABDEL",2015,"M",1
"67","AAR—N","ABDUL",2015,"M",1
"68","AAR—N","ALDAIR",2015,"M",1
"69","AAR—N","ALEXANDER",2015,"M",1
"70","AAR—N","ALEXIS",2015,"M",1
"71","AAR—N","ANDREE",2015,"M",1
"72","AAR—N","ANTONIO",2015,"M",1
"73","AAR—N","ARMANDO",2015,"M",1
"74","AAR—N","AUSBELT",2015,"M",1
"75","AAR—N","CALEB",2015,"M",1
"76","AAR—N","DANEL",2015,"M",1
"77","AAR—N","DANIEL",2015,"M",1
"78","AAR—N","DAVID",2015,"M",2
"79","AAR—N","DE JESŒS",2015,"M",2
"80","AAR—N","ELIÁN",2015,"M",1
"81","AAR—N","EL’AS",2015,"M",1
"82","AAR—N","ELISEO",2015,"M",1
"83","AAR—N","ENOC",2015,"M",1
"84","AAR—N","ENRIQUE",2015,"M",3
"85","AAR—N","ENRRIQUE",2015,"M",1
"86","AAR—N","IBRAHIM",2015,"M",1
"87","AAR—N","IGNACIO",2015,"M",1
"88","AAR—N","ISAAC",2015,"M",4
"89","AAR—N","JAHIR",2015,"M",1
"90","AAR—N","JAIR",2015,"M",1
"91","AAR—N","JAVIER",2015,"M",2
"92","AAR—N","JESŒS",2015,"M",1
"93","AAR—N","JOEL",2015,"M",2
"94","AAR—N","JOSUE",2015,"M",1
"95","AAR—N","JOSUÉ",2015,"M",5
"96","AAR—N","KALED",2015,"M",1
"97","AAR—N","MAGDIEL",2015,"M",1
"98","AAR—N","MAT’AS",2015,"M",1
"99","AAR—N","MOISÉS",2015,"M",3
"100","AAR—N","ORLANDO",2015,"M",1
"101","AAR—N","ROLANDO",2015,"M",1
"102","AAR—N","SAMMIR",2015,"M",1
"103","AAR—N","SANTIAGO",2015,"M",1
"104","AAR—N","STEVEN",2015,"M",1
"105","AAR—N","WILBER",2015,"M",1
"106","AÁRON","-",2015,"M",1
"107","AÀRON","JAASIEL",2015,"M",1
"108","ÁARON","JOSÉ",2015,"M",1
"109","AARONIS","ABDEL",2015,"M",1
"110","AARUSH","BASSIL",2015,"M",1
"111","AARUSH","JAMIL",2015,"M",1
"112","ABAD","JAFETH",2015,"M",1
"113","ABADIEL","-",2015,"M",1
"114","ABASS","-",2015,"M",1
"115","ABATH","ABDIEL",2015,"M",1
"116","ABAY","NORIEL",2015,"M",1
"117","ABBÁ","JOSE",2015,"M",1
"118","ABBEY","ALEXA",2015,"F",1
"119","ABBEY","NAOMY",2015,"F",1
"120","ABBEY","PAMELA",2015,"F",1
"121","ABBIE","-",2015,"F",1
"122","ABBIE","MAHELET",2015,"F",1
"123","ABBIE","MICHELLE",2015,"F",1
"124","ABBIE","NAH’M",2015,"F",1
"125","ABBY","ABIGAIL",2015,"F",1
"126","ABBY","ANAEL’",2015,"F",1
"127","ABBY","ANDREA",2015,"F",1
"128","ABBY","ARELIS",2015,"F",1
"129","ABBY","CLAIRE",2015,"F",1
"130","ABBY","EVANGELINE",2015,"F",1
"131","ABBY","GABRIELLE",2015,"F",1
"132","ABBY","GILL",2015,"F",1
"133","ABBY","ISABELLA",2015,"F",1
"134","ABBY","IZENITH",2015,"F",1
"135","ABBY","LUCIANA",2015,"F",1
"136","ABBY","MABELLE",2015,"F",1
"137","ABBY","SHANELL",2015,"F",1
"138","ABBY","SOFIA",2015,"F",1
"139","ABBYS","ALISSETH",2015,"F",1
"140","ABDAEL","ALFONSO",2015,"M",1
"141","ABDAEL","ALFREDO",2015,"M",1
"142","ABDAEL","ELOY",2015,"M",1
"143","ABDAEL","JAEL",2015,"M",1
"144","ABDAEL","JAIM",2015,"M",1
"145","ABDAEL","NICOLAS",2015,"M",1
"146","ABDAHIR","ENOC",2015,"M",1
"147","ABDAIR","-",2015,"M",1
"148","ABDAIR","ABDIEL",2015,"M",1
"149","ABDAIR","ALONSO",2015,"M",1
"150","ABDAIR","YAMIR",2015,"M",1
"151","ABDALIRHÁM","-",2015,"M",1
"152","ABDALLAH","HASSAN",2015,"M",1
"153","ABDALYS","ESTHER",2015,"F",1
"154","ABDAYANIS","YIRLEY",2015,"F",1
"155","ABDEEL","ALLAN",2015,"M",1
"156","ABDEEL","BENJAMIN",2015,"M",1
"157","ABDEEL","DANIEL",2015,"M",1
"158","ABDEEL","DAVID",2015,"M",1
"159","ABDEEL","ELIAS",2015,"M",1
"160","ABDEEL","MIBSAM",2015,"M",1
"161","ABDEKIEL","JOSEPH",2015,"M",1
"162","ABDEL","-",2015,"M",1
"163","ABDEL","ABDIEL",2015,"M",1
"164","ABDEL","ABISAI",2015,"M",1
"165","ABDEL","ABRAHAM",2015,"M",2
"166","ABDEL","AGUSTIN",2015,"M",1
"167","ABDEL","ALBERTO",2015,"M",1
"168","ABDEL","ALDAHIR",2015,"M",1
"169","ABDEL","ALDAIR",2015,"M",1
"170","ABDEL","ALEJANDRO",2015,"M",1
"171","ABDEL","ALEXANDER",2015,"M",4
"172","ABDEL","ALI",2015,"M",1
"173","ABDEL","AMADO",2015,"M",1
"174","ABDEL","AMAYEL",2015,"M",1
"175","ABDEL","ANEL",2015,"M",1
"176","ABDEL","ANTONIO",2015,"M",4
"177","ABDEL","ARIEL",2015,"M",3
"178","ABDEL","ARISTIDES",2015,"M",1
"179","ABDEL","AROM",2015,"M",1
"180","ABDEL","AZAAN",2015,"M",1
