jobs_id,job_position,job_title,PEP,PEP2,date_record
1,ABOGADO,ABOGADO_I,,0,04/03/19
2,ABOGADO,ABOGADO_II,,0,04/03/19
3,ABOGADO,ABOGADO_III,,0,04/03/19
4,ADJUNTO,ADJUNTO_I,,1,04/03/19
5,ADMINISTRADOR_DE BASE DE DATOS,ADMINISTRADOR_DE BASE DE DATOS,,0,04/03/19
6,"ADMINISTRADOR_DE COMUNICACIONES, REDES Y DATACENTER","ADMINISTRADOR_DE COMUNICACIONES, REDES Y DATACENTER",,0,04/03/19
7,ADMINISTRADOR_DE HOSPITALES,ADMINISTRADOR_DE HOSPITALES,P,1,04/03/19
8,ADMINISTRADOR_DE PROYECTOS,ADMINISTRADOR_DE PROYECTOS,,0,04/03/19
9,ADMINISTRADOR_DE PROYECTOS,ADMINISTRADOR_DE PROYECTOS INFORMATICOS,,0,04/03/19
10,ADMINISTRADOR_DE REDES,ADMINISTRADOR_DE REDES,,0,04/03/19
11,ADMINISTRADOR_DE REDES SOCIALES,ADMINISTRADOR_DE REDES SOCIALES,,0,04/03/19
12,ADMINISTRADOR_DE SEGURIDAD DE SISTEMAS INFORMATICOS,ADMINISTRADOR_DE SEGURIDAD DE SISTEMAS INFORMATICOS,,0,04/03/19
13,ADMINISTRADOR_FISCAL,ADMINISTRADOR_FISCAL I,,0,04/03/19
14,ADMINISTRADOR,ADMINISTRADOR_I,,0,04/03/19
15,ADMINISTRADOR,ADMINISTRADOR_II,,0,04/03/19
16,ADMINISTRADOR,ADMINISTRADOR_III,,0,04/03/19
17,ADMINISTRADOR_POSTAL Y TELEGRAFICO,ADMINISTRADOR_POSTAL Y TELEGRAFICO,,0,04/03/19
18,ADMINISTRADOR_PROVINCIAL,ADMINISTRADOR_PROVINCIAL,,0,04/03/19
19,ADMINISTRADOR_PROVINCIAL,ADMINISTRADOR_PROVINCIAL DE CORREOS Y TELEGRAFOS,,0,04/03/19
20,ADMINISTRADOR_REGIONAL,ADMINISTRADOR_REGIONAL,,0,04/03/19
21,ADMINISTRADOR_REGIONAL,ADMINISTRADOR_REGIONAL DE INGRESOS,,0,04/03/19
22,AFORADOR_DE TRAFICO VEHICULAR,AFORADOR_DE TRAFICO VEHICULAR,,0,04/03/19
23,AGENTE_DE INSTRUCCIÓN DELEGADO,AGENTE_DE INSTRUCCIÓN DELEGADO,,0,04/03/19
24,AGENTE_DE MERCADEO,AGENTE_DE MERCADEO III (SUPERVISOR),,0,04/03/19
25,AGENTE_DE SEGURIDAD,AGENTE_DE SEGURIDAD I,,0,04/03/19
26,AGENTE_DE SEGURIDAD,AGENTE_DE SEGURIDAD II,,0,04/03/19
27,AGENTE_DE SEGURIDAD,AGENTE_DE SEGURIDAD III (SPI),,0,04/03/19
28,AGENTE_DE SEGURIDAD,AGENTE_DE SEGURIDAD III (SUPERVISOR),,0,04/03/19
29,AGENTE_DE SEGURIDAD,AGENTE_DE SEGURIDAD IV (SPI),,0,04/03/19
30,AGENTE_DE SEGURIDAD,AGENTE_DE SEGURIDAD V (SPI),,0,04/03/19
31,AGENTE_DEL HOGAR,AGENTE_DEL HOGAR,,0,04/03/19
32,AGENTE_OPERATIVO (SPI),AGENTE_OPERATIVO III (SPI),,0,04/03/19
33,AGREGADO_COMERCIAL,AGREGADO_COMERCIAL,,0,04/03/19
34,AGREGADO_CULTURAL,AGREGADO_CULTURAL,,0,04/03/19
35,AGREGADO_DE EMBAJADA,AGREGADO_DE EMBAJADA,,0,04/03/19
36,AGREGADO_DE PRENSA,AGREGADO_DE PRENSA,,0,04/03/19
37,AGRONOMO,AGRONOMO_I (1),,0,04/03/19
38,AGRONOMO,AGRONOMO_I (2),,0,04/03/19
39,AGRONOMO,AGRONOMO_I (3),,0,04/03/19
40,AGRONOMO,AGRONOMO_I (4),,0,04/03/19
41,AGRONOMO,AGRONOMO_I (5),,0,04/03/19
42,ALBANIL,ALBAQIL_I,,0,04/03/19
43,ALBANIL,ALBAQIL_II,,0,04/03/19
44,ALBANIL,ALBAQIL_III (SUPERVISOR),,0,04/03/19
45,ALBANIL,ALGUACIL_EJECUTOR,,0,04/03/19
46,ALGUACIL_EJECUTOR TRIBUNAL MARITIMO,ALGUACIL_EJECUTOR TRIBUNAL MARITIMO,,0,04/03/19
47,ALMACENISTA,ALMACENISTA_I,,0,04/03/19
48,ALMACENISTA,ALMACENISTA_II,,0,04/03/19
49,ALMACENISTA,ALMACENISTA_III (SUPERVISOR),,0,04/03/19
50,ANALISTA_(SPI),ANALISTA_(SPI),,0,04/03/19
51,ANALISTA_ADMINISTRATIVO,ANALISTA_ADMINISTRATIVO,,0,04/03/19
52,ANALISTA_CENTRAL DE ADMINISTRACION,ANALISTA_CENTRAL DE ADMINISTRACION I,,0,04/03/19
53,ANALISTA_CENTRAL DE ADMINISTRACION,ANALISTA_CENTRAL DE ADMINISTRACION II,,0,04/03/19
54,ANALISTA_CENTRAL DE ADMON DE RECURSOS HUMANOS,ANALISTA_CENTRAL DE ADMON DE RECURSOS HUMANOS,,0,04/03/19
55,ANALISTA_CENTRAL DE EVALUACION Y SEGUIMIENTO DE LA CAPACITAC,ANALISTA_CENTRAL DE EVALUACION Y SEGUIMIENTO DE LA CAPACITAC,,0,04/03/19
56,ANALISTA_CENTRAL DE PRESUPUESTO,ANALISTA_CENTRAL DE PRESUPUESTO I,,0,04/03/19
57,ANALISTA_CENTRAL DE PRESUPUESTO,ANALISTA_CENTRAL DE PRESUPUESTO II,,0,04/03/19
58,ANALISTA_CENTRAL DE PRESUPUESTO,ANALISTA_CENTRAL DE PRESUPUESTO III (SUPERVISOR),,0,04/03/19
59,ANALISTA_DE ACCIONES DE PERSONAL,ANALISTA_DE ACCIONES DE PERSONAL,,0,04/03/19
60,ANALISTA_DE ACCIONES DE PERSONAL,ANALISTA_DE ACCIONES DE PERSONAL - SUPERVISOR,,0,04/03/19
61,ANALISTA_DE ADIESTRAMIENTO,ANALISTA_DE ADIESTRAMIENTO,,0,04/03/19
62,ANALISTA_DE CAPACITACION,ANALISTA_DE CAPACITACION,,0,04/03/19
63,ANALISTA_DE CATASTRO,ANALISTA_DE CATASTRO,,0,04/03/19
64,ANALISTA_DE COBROS,ANALISTA_DE COBROS,,0,04/03/19
65,ANALISTA_DE COMERCIO EXTERIOR,ANALISTA_DE COMERCIO EXTERIOR I,,0,04/03/19
66,ANALISTA_DE COMERCIO EXTERIOR,ANALISTA_DE COMERCIO EXTERIOR II,,0,04/03/19
67,ANALISTA_DE COMPRAS,ANALISTA_DE COMPRAS,,0,04/03/19
68,ANALISTA_DE CONTROL DE CALIDAD,ANALISTA_DE CONTROL DE CALIDAD I,,0,04/03/19
69,ANALISTA_DE CONTROL DE CALIDAD,ANALISTA_DE CONTROL DE CALIDAD II,,0,04/03/19
70,ANALISTA_DE CREDITO,ANALISTA_DE CREDITO I,,0,04/03/19
71,ANALISTA_DE LABORATORIO,ANALISTA_DE LABORATORIO,,0,04/03/19
72,ANALISTA_DE MACRO FISCAL,ANALISTA_DE MACRO FISCAL,,0,04/03/19
73,ANALISTA_DE MERCADEO,ANALISTA_DE MERCADEO I,,0,04/03/19
74,ANALISTA_DE MERCADO LABORAL,ANALISTA_DE MERCADO LABORAL II,,0,04/03/19
75,ANALISTA_DE ORGANIZACION Y SISTEMAS ADMINISTRATIVOS,ANALISTA_DE ORGANIZACION Y SISTEMAS ADMINISTRATIVOS I,,0,04/03/19
76,ANALISTA_DE ORGANIZACION Y SISTEMAS ADMINISTRATIVOS,ANALISTA_DE ORGANIZACION Y SISTEMAS ADMINISTRATIVOS II,,0,04/03/19
77,ANALISTA_DE ORGANIZACION Y SISTEMAS ADMTVOS,ANALISTA_DE ORGANIZACION Y SISTEMAS ADMTVOS III (SUPERV),,0,04/03/19
78,ANALISTA_DE PRESUPUESTO,ANALISTA_DE PRESUPUESTO I,,0,04/03/19
79,ANALISTA_DE PRESUPUESTO,ANALISTA_DE PRESUPUESTO II,,0,04/03/19
80,ANALISTA_DE PRESUPUESTO,ANALISTA_DE PRESUPUESTO III (SUPERVISOR),,0,04/03/19
81,ANALISTA_DE PROGRAMAS Y PROYECTOS,ANALISTA_DE PROGRAMAS Y PROYECTOS,,0,04/03/19
82,ANALISTA_DE QUEJAS,ANALISTA_DE QUEJAS,,0,04/03/19
83,ANALISTA_DE RECURSOS HUMANOS,ANALISTA_DE RECURSOS HUMANOS,,0,04/03/19
84,ANALISTA_DE RECURSOS HUMANOS,ANALISTA_DE RECURSOS HUMANOS SUPERVISOR,,0,04/03/19
85,ANALISTA_DE RELACIONES INTERNACIONALES,ANALISTA_DE RELACIONES INTERNACIONALES I,,0,04/03/19
86,ANALISTA_DE RELACIONES INTERNACIONALES,ANALISTA_DE RELACIONES INTERNACIONALES II,,0,04/03/19
87,ANALISTA_DE SISTEMAS Y METODOS  INFORMATICOS,ANALISTA_DE SISTEMAS Y METODOS  INFORMATICOS I,,0,04/03/19
